"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12835","Add Employee and verify fields are cleared after Reset","chromium","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","15802","Edit Personal Details and verify field values","webkit","2026-05-15","failed","2026-05-15","","personaldetails.spec.ts","",""
"","16066","Add Employee with all fields","chromium","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","16684","Add Employee with all fields","firefox","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","6094","get started link","chromium","2026-05-15","passed","2026-05-15","","example.spec.ts","",""
"","15088","Add Employee Scenario","chromium","2026-05-15","passed","2026-05-15","","addemployee.spec.ts","",""
"","20208","Employee search scenario","webkit","2026-05-15","passed","2026-05-15","","landingpage.spec.ts","",""
"","3638","has title","webkit","2026-05-15","passed","2026-05-15","","example.spec.ts","",""
"","5637","HomePage validation scenario","chromium","2026-05-15","passed","2026-05-15","","landingpage.spec.ts","",""
"","18900","Edit Personal Details with all fields","webkit","2026-05-15","failed","2026-05-15","","personaldetails.spec.ts","",""
"","16223","Add Employee using helper method","chromium","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","25807","Add Employee Scenario","firefox","2026-05-15","passed","2026-05-15","","addemployee.spec.ts","",""
"","22537","Edit Personal Details with all fields","firefox","2026-05-15","failed","2026-05-15","","personaldetails.spec.ts","",""
"","4845","has title","chromium","2026-05-15","passed","2026-05-15","","example.spec.ts","",""
"","31138","Edit Personal Details using helper method","webkit","2026-05-15","broken","2026-05-15","","personaldetails.spec.ts","",""
"","11262","Login and Logout success scenario","firefox","2026-05-15","passed","2026-05-15","","loginpage.spec.ts","",""
"","37370","Edit Personal Details using helper method","chromium","2026-05-15","broken","2026-05-15","","personaldetails.spec.ts","",""
"","32639","Edit Personal Details using helper method","firefox","2026-05-15","broken","2026-05-15","","personaldetails.spec.ts","",""
"","5669","get started link","webkit","2026-05-15","passed","2026-05-15","","example.spec.ts","",""
"","14716","has title","firefox","2026-05-15","passed","2026-05-15","","example.spec.ts","",""
"","7867","Login and Logout success scenario","webkit","2026-05-15","passed","2026-05-15","","loginpage.spec.ts","",""
"","6762","get started link","firefox","2026-05-15","passed","2026-05-15","","example.spec.ts","",""
"","4254","Login and Logout success scenario","chromium","2026-05-15","passed","2026-05-15","","loginpage.spec.ts","",""
"","15638","Add Employee and verify fields are cleared after Reset","webkit","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","20099","Add Employee and verify fields are cleared after Reset","firefox","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","18844","Add Employee using helper method","webkit","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","22252","Add Employee with all fields","webkit","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","16623","Add Employee using helper method","firefox","2026-05-15","passed","2026-05-15","","addemployee-new.spec.ts","",""
"","8091","HomePage validation scenario","webkit","2026-05-15","passed","2026-05-15","","landingpage.spec.ts","",""
"","17248","Add Employee Scenario","webkit","2026-05-15","passed","2026-05-15","","addemployee.spec.ts","",""
"","6686","HomePage validation scenario","firefox","2026-05-15","passed","2026-05-15","","landingpage.spec.ts","",""
"","20013","Employee search scenario","firefox","2026-05-15","passed","2026-05-15","","landingpage.spec.ts","",""
"","15667","Edit Personal Details with all fields","chromium","2026-05-15","failed","2026-05-15","","personaldetails.spec.ts","",""
"","13008","Employee search scenario","chromium","2026-05-15","passed","2026-05-15","","landingpage.spec.ts","",""
"","18313","Edit Personal Details and verify field values","firefox","2026-05-15","failed","2026-05-15","","personaldetails.spec.ts","",""
"","15598","Edit Personal Details and verify field values","chromium","2026-05-15","failed","2026-05-15","","personaldetails.spec.ts","",""
